name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url,s2_author_id,s2_name,h_index,citation_count,paper_count,metrics_fetched,fix_status,s2_profile_url
MUK Lykeang,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,2.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=oBWPepcAAAAJ,0009-0006-4492-6894,found,,,2271084480.0,Lykeang Muk,1.0,1.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2271084480.0
Heng MAO,Assistant Professor of Medicine,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,2.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=HIGXoTQAAAAJ,0000-0002-2760-6534,found,56650877500.0,https://www.scopus.com/authid/detail.uri?authorId=56650877500,,,,,,,skipped_low_hindex,
KHOM Sanchhay,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=4JQej0AAAAAJ,0009-0000-4309-4383,found,,,,,,,,,skipped_low_hindex,
Sreynich CHHUN,"Lecturer of the Department of Science Research, Faculty of Science and Technology, UP",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=eodAWhgAAAAJ,0009-0009-3082-4186,found,,,2361998336.0,S. Chhun,1.0,13.0,7.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2361998336.0
Heng Sophea,"Lecturer of Surgery, Faculty of Medicine",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=s31URnIAAAAJ,0009-0001-9723-0595,found,,,89045073.0,Heng Sophea,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/89045073.0
Vutha Meas,Calmette Hospital and University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=vbz4AIkAAAAJ,0000-0002-6198-3704,found,57193453344.0,https://www.scopus.com/authid/detail.uri?authorId=57193453344,2425529865.0,Vutha Meas,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2425529865.0
Dr. AN SRIM,"Ajc. C. Asst. Professor, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=uaGjS80AAAAJ,0009-0003-0149-5420,found,,,,,,,,,skipped_low_hindex,
Ratanakromanea Ngin,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=l0eH944AAAAJ,0009-0001-5765-5425,found,,,,,,,,,skipped_low_hindex,
chea ong,"Professor of Hepato-Gastroenterologist. University of Health Sciences, Puthisastra and International",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=CPufyjkAAAAJ,0000-0001-7912-1048,found,,,,,,,,,skipped_low_hindex,
Sophaneth Keo,"Lecturer of Biochemistry, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=tQwvWxIAAAAJ,0009-0003-6335-8827,found,,,,,,,,,skipped_low_hindex,
Michael Renfrew,"Director of Research, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=BG4fQfEAAAAJ,0009-0006-6049-8770,found,,,2409336638.0,Mike Renfrew,0.0,0.0,3.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2409336638.0
HENG Sreyly,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=uuFMfjYAAAAJ,0009-0000-2519-3791,found,,,,,,,,,skipped_low_hindex,
YEM  Sokha,university of puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=bBy04t0AAAAJ,0009-0005-1573-0609,found,,,2409337195.0,Yem Sokha,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2409337195.0
SRUY HUY,"Khmer-Soviet Friendship Hospital, University of Health Science, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=J6qTOyAAAAAJ,0009-0003-1791-129X,found,,,2135593211.0,Huy Sruy,1.0,2.0,16.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2135593211.0
Chendavatey Pok,Doctor,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=5__wnkgAAAAJ,0000-0001-8041-2678,found,,,2429743952.0,Chendavatey Pok,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2429743952.0
LAM Pechkethia,"Pediatric Hematology, University of Health Sciences",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=g24IXQoAAAAJ,0009-0003-3358-4057,found,,,,,,,,,skipped_low_hindex,
PIT Sovannary,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=RP7Mlv8AAAAJ,0009-0004-9519-7180,found,,,,,,,,,skipped_low_hindex,
VANN  Lida,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=vPkXSuYAAAAJ,0009-0000-7429-8653,found,,,2439817285.0,Lida Vann,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2439817285.0
