name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url,s2_author_id,s2_name,h_index,citation_count,paper_count,metrics_fetched,fix_status,s2_profile_url,scopus_name,scopus_h_index,scopus_documents,scopus_citations,scopus_affiliation,scopus_country,scopus_orcid,scrape_status,scopus_url_scraped
Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,111.0,7.0,6.0,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ,0000-0003-0569-3021,found,57219198544.0,https://www.scopus.com/authid/detail.uri?authorId=57219198544,121296676,Sophat Soeung,4.0,52.0,13.0,2026-06-07,fixed,https://www.semanticscholar.org/author/121296676,,,,,,,,error,https://www.scopus.com/authid/detail.uri?authorId=57219198544
Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,nie.edu.kh,61.0,6.0,2.0,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ,0000-0002-5826-5170,found,,,1573683944,Savrin Thy,4.0,25.0,6.0,,fixed,https://www.semanticscholar.org/author/1573683944,,,,,,,,no_url,
Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,nie.edu.kh,45.0,4.0,2.0,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ,0009-0000-6400-4930,found,,,2207442434.0,Vutheavy Chim,3.0,10.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2207442434.0,,,,,,,,no_url,
Ngoeurn,MA,Verified email at nie.edu.kh,nie.edu.kh,43.0,2.0,2.0,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ,0009-0006-7406-3145,found,,,2428025055.0,Borey Ngoeurn,0.0,0.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2428025055.0,,,,,,,,no_url,
Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,nie.edu.kh,36.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ,0000-0002-0703-7151,found,,,2257074593.0,Rany Im,3.0,23.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2257074593.0,,,,,,,,no_url,
