domain,name,affiliation,email,citations,hindex,i10index,profile
nie.edu.kh,Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ
nie.edu.kh,Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ
nie.edu.kh,Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ
nie.edu.kh,Ngoeurn,MA,Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ
nie.edu.kh,Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ
nie.edu.kh,Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh - Homepage,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ
nie.edu.kh,Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh - Homepage,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ
nie.edu.kh,Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ
nie.edu.kh,Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ
nie.edu.kh,Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ
nie.edu.kh,Keun Im,"Researcher, Academic Supervisor, and IELTS trainer for postgraduate scholars",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=I9Of67EAAAAJ
nie.edu.kh,Huy Hang,"Ph.D. Research Scholar, University of Calcutta",Verified email at nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=GkYG2CMAAAAJ
npic.edu.kh,Leang So Khuong,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=PNquJjkAAAAJ
npic.edu.kh,SAR SARY,Senior Lecturer of National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=KuX3qM4AAAAJ
npic.edu.kh,Chivon Choeung,"Lecturer & Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=LxeaO3oAAAAJ
npic.edu.kh,Heng Tang,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=Jcl8V6UAAAAJ
